RK,TIERS,PLAYER NAME,TEAM,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
256,12,Jermaine Burton,CIN,WR107,24,202,322,249.5,29.1,-
257,12,Michael Mayer,LV,TE39,24,161,279,232,27,-
258,13,Dyami Brown,JAC,WR108,25,180,308,240.8,33.9,-
259,13,Zack Moss,CIN,RB77,27,228,301,258.9,15.5,-
260,13,Miles Sanders,DAL,RB78,28,198,294,254.6,21.3,-
261,13,Kareem Hunt,KC,RB79,29,195,306,264.4,23.2,-
262,13,Nick Westbrook-Ikhine,MIA,WR109,28,197,291,251.7,28.8,-
263,13,Devin Singletary,NYG,RB80,27,219,290,257.6,19.4,-
264,13,Tez Johnson,TB,WR110,23,202,281,243.1,23.1,-
265,13,Tyler Conklin,LAC,TE40,30,217,298,254.9,23.6,-
266,13,Justice Hill,BAL,RB81,27,229,296,265.3,16.6,-
267,13,Tutu Atwell,LAR,WR111,25,177,317,251.8,38.9,-
268,13,Tai Felton,MIN,WR112,22,175,329,239.7,41,-
269,13,Dont'e Thornton Jr.,LV,WR113,22,163,315,235.1,44.4,-
270,13,Tyler Higbee,LAR,TE41,32,191,304,255.3,32.3,-
271,13,Isaiah Davis,NYJ,RB82,23,219,318,265.5,22.7,-
272,13,Antonio Gibson,NE,RB83,27,231,299,262.1,19.1,-
273,13,Khalil Herbert,IND,RB84,27,235,295,266.3,15.8,-
274,13,Tre Tucker,LV,WR114,24,220,306,257.6,22.3,-
275,13,Gunnar Helm,TEN,TE42,22,209,319,253.8,30.4,-
276,13,Raheem Mostert,LV,RB85,33,224,305,269.7,21.3,-
277,13,Elijah Mitchell,KC,RB86,27,216,319,273.7,27.8,-
278,13,Luke Musgrave,GB,TE43,24,230,285,257.4,17.4,-
279,13,Kimani Vidal,LAC,RB87,23,210,334,276,34.9,-
280,13,Sean Tucker,TB,RB88,23,211,309,273.6,25.9,-
281,13,Jacory Croskey-Merritt,WAS,RB89,24,186,306,245.2,36.5,-
282,13,Javon Baker,NE,WR115,23,237,298,260.7,18.3,-
283,13,Jaylin Lane,WAS,WR116,23,205,313,261,33.4,-
284,13,Gabe Davis,FA,WR117,26,211,292,252.7,25.1,-
285,13,Taysom Hill,NO,TE44,34,212,286,253.6,20.6,-
286,13,Will Dissly,LAC,TE45,29,217,294,261.2,24.5,-
287,13,Kenneth Gainwell,PIT,RB90,26,259,320,282.4,19.2,-
288,13,Chimere Dike,TEN,WR118,23,200,310,262.2,33.5,-
289,13,Malachi Corley,NYJ,WR119,23,246,303,270,20.6,-
290,13,Sincere McCormick,LV,RB91,24,251,329,289.2,23.2,-
291,13,Kirk Cousins,ATL,QB36,36,145,253,190.8,45.4,-
292,13,Isaiah Bond,FA,WR120,-,158,311,246.8,57,-
